number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
68,11268.875,2025-05-25 08:28:55.504250,2025-05-25 08:29:30.331213,0 days 00:00:34.826963,964,True,0.8130512924024597,26,18,True,"[0.1909930203608921, 0.4866008676718526, 0.0995754294590653, 0.2228306825081899]",COMPLETE
69,11049.583333333334,2025-05-25 08:29:30.331970,2025-05-25 08:39:01.748591,0 days 00:09:31.416621,448,False,0.09170396056834464,525,364,False,"[0.2395706509083237, 0.08491322606661195, 0.43898436409923075, 0.23653175892583364]",COMPLETE
70,11096.486111111111,2025-05-25 08:39:01.749197,2025-05-25 08:40:15.723752,0 days 00:01:13.974555,623,False,0.8710421632859819,142,139,False,"[0.4823579606607722, 0.26932836506284635, 0.09468793476654416, 0.1536257395098373]",COMPLETE
71,10892.5,2025-05-25 08:40:15.724209,2025-05-25 08:50:21.137064,0 days 00:10:05.412855,832,False,0.03696174979371234,969,891,True,"[0.023498265007176965, 0.2246906677604547, 0.22411350826841964, 0.5276975589639487]",COMPLETE
72,11042.75,2025-05-25 08:50:21.138570,2025-05-25 09:01:33.955942,0 days 00:11:12.817372,169,False,0.9070598431656174,888,396,True,"[0.7963392081345465, 0.005765116387592093, 0.15932283683421353, 0.0385728386436477]",COMPLETE
73,11106.916666666666,2025-05-25 09:01:33.956386,2025-05-25 09:23:51.216783,0 days 00:22:17.260397,700,False,0.06082440965307411,255,11,False,"[0.4569096376481109, 0.056986852240351986, 0.10134587123762816, 0.38475763887390885]",COMPLETE
74,11075.902777777777,2025-05-25 09:23:51.217262,2025-05-25 09:42:12.420138,0 days 00:18:21.202876,676,False,0.996966326826016,534,163,False,"[0.44193871081257696, 0.24445706471119366, 0.20551366246425165, 0.10809056201197767]",COMPLETE
75,11075.194444444445,2025-05-25 09:42:12.420633,2025-05-25 09:45:55.590207,0 days 00:03:43.169574,183,True,0.06408120310195338,335,228,True,"[0.047850013852065006, 0.051463661791329454, 0.3474779070419529, 0.5532084173146525]",COMPLETE
76,11094.125,2025-05-25 09:45:55.591661,2025-05-25 09:56:51.450423,0 days 00:10:55.858762,519,True,0.33780242700071145,374,171,False,"[0.31560640000084106, 0.33326502754188764, 0.14216510903672394, 0.20896346342054728]",COMPLETE
77,11062.486111111111,2025-05-25 09:56:51.451088,2025-05-25 10:19:58.204676,0 days 00:23:06.753588,595,False,0.9982794379343267,663,263,False,"[0.5713594349325903, 0.1894476454098579, 0.03319921921600627, 0.20599370044154547]",COMPLETE
