instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
ftv38.atsp,39,1521,ATSP,true,0.75,29,1289,1289.0,1289,2560,2396.5,2219,1055,1054.6,1051,2560,1704.7619047619048,1051
ftv44.atsp,45,2025,ATSP,false,0.25,11,370,370.0,370,482,412.0,364,206,206.0,206,482,311.9047619047619,206
ftv44.atsp,45,2025,ATSP,false,0.5,22,836,836.0,836,1701,1592.4,1471,559,558.6,555,1701,1064.095238095238,555
ftv44.atsp,45,2025,ATSP,false,0.75,33,1159,1159.0,1159,3036,2939.8,2793,1049,1049.0,1049,3036,1954.6190476190477,1049
ftv44.atsp,45,2025,ATSP,true,0.25,11,430,430.0,430,502,398.9,342,256,256.0,256,502,332.3333333333333,256
ftv44.atsp,45,2025,ATSP,true,0.5,22,895,895.0,895,1628,1506.5,1409,647,645.5,632,1628,1067.3809523809523,632
ftv44.atsp,45,2025,ATSP,true,0.75,33,1278,1278.0,1278,3051,2943.4,2724,1068,1068.0,1068,3051,1971.047619047619,1068
ftv47.atsp,48,2304,ATSP,false,0.25,12,321,321.0,321,580,522.6,403,258,258.0,258,580,387.0,258
ftv47.atsp,48,2304,ATSP,false,0.5,24,694,694.0,694,2178,1826.8,1705,664,664.0,664,2178,1219.142857142857,664
ftv47.atsp,48,2304,ATSP,false,0.75,36,1312,1312.0,1312,3531,3443.4,3247,1117,1117.0,1117,3531,2234.095238095238,1117
ftv47.atsp,48,2304,ATSP,true,0.25,12,451,451.0,451,599,490.1,408,289,289.0,289,599,392.4761904761905,289
ftv47.atsp,48,2304,ATSP,true,0.5,24,863,863.0,863,1934,1751.5,1616,708,708.0,708,1934,1212.2857142857142,708
ftv47.atsp,48,2304,ATSP,true,0.75,36,1261,1261.0,1261,3615,3399.3,3244,1212,1212.0,1212,3615,2255.904761904762,1212
ftv55.atsp,56,3136,ATSP,false,0.25,14,397,397.0,397,663,578.4,495,232,232.0,232,663,404.8095238095238,232
ftv55.atsp,56,3136,ATSP,false,0.5,28,712,712.0,712,2260,2049.5,1911,630,630.0,630,2260,1309.857142857143,630
ftv55.atsp,56,3136,ATSP,false,0.75,42,1238,1238.0,1238,3939,3816.7,3617,1139,1139.0,1139,3939,2418.809523809524,1139
ftv55.atsp,56,3136,ATSP,true,0.25,14,428,428.0,428,691,595.3,435,296,295.1,287,691,444.3809523809524,287
ftv55.atsp,56,3136,ATSP,true,0.5,28,871,871.0,871,2286,2144.5,1973,698,698.0,698,2286,1395.047619047619,698
ftv55.atsp,56,3136,ATSP,true,0.75,42,1310,1310.0,1310,4016,3782.6,3652,1197,1193.7,1165,4016,2432.0476190476193,1165
